LATITUD,LONGITUD,DISTRITO
4.046.337.689.728.220,-36.274.745.413.776.600,HORTALEZA
4.039.241.374.953.320,-3.697.247.685.884.220,ARGANZUELA
40.424.926.347.610.700,-36.899.208.519.663.400,SALAMANCA
40.393.612.303.425.900,-36.556.073.868.098.400,PUENTE DE VALLECAS
40.449.208.447.370.100,-36.755.539.136.331.800,CHAMARTIN
40.334.751.832.113.700,-3.700.809.560.921.590,VILLAVERDE
40.334.751.832.113.700,-3.700.809.560.921.590,VILLAVERDE
4.039.552.931.214.330,-37.562.667.464.373.200,LATINA
40.407.316.328.180.400,-3.747.465.416.906.970,LATINA
40.446.818.592.300.200,-3.572.741.163.820.910,SAN BLAS-CANILLEJAS
4.049.035.310.157.370,-3.655.261.744.717.250,HORTALEZA
4.035.639.654.251.880,-36.940.501.846.610.800,VILLAVERDE
4.035.639.654.251.880,-36.940.501.846.610.800,VILLAVERDE
4.035.639.654.251.880,-36.940.501.846.610.800,VILLAVERDE
40.394.522.745.106.700,-37.000.855.961.559.800,ARGANZUELA
40.393.612.303.425.900,-36.556.073.868.098.400,PUENTE DE VALLECAS
4.035.639.654.251.880,-36.940.501.846.610.800,VILLAVERDE
40.378.853.797.128.300,-37.819.616.113.032.100,LATINA
4.042.938.854.032.780,-3.664.855.511.110.750,SALAMANCA
4.039.552.931.214.330,-37.562.667.464.373.200,LATINA
40.378.853.797.128.300,-37.819.616.113.032.100,LATINA
40.407.316.328.180.400,-3.747.465.416.906.970,LATINA
40.447.199.849.232.100,-36.998.771.920.981.000,TETUAN
40.379.565.707.685.800,-36.914.252.404.682.900,USERA
40.379.565.707.685.800,-36.914.252.404.682.900,USERA
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
4.041.789.950.036.310,-37.309.390.858.931.100,MONCLOA-ARAVACA
40.419.011.767.401.000,-3.692.206.111.679.650,RETIRO
40.419.011.767.401.000,-3.692.206.111.679.650,RETIRO
4.040.966.697.102.750,-3.701.574.291.636.870,CENTRO
4.042.941.133.441.140,-36.416.899.839.787.600,CIUDAD LINEAL
4.041.878.362.561.590,-36.866.519.471.003.600,RETIRO
40.402.324.327.188.100,-36.774.460.025.489.300,RETIRO
4.042.996.840.999.020,-3.622.184.001.035.280,SAN BLAS-CANILLEJAS
4.039.241.367.848.800,-3.697.259.467.865.360,ARGANZUELA
40.410.560.776.119,-36.937.931.079.230.700,CENTRO
4.043.200.210.571.460,-36.709.293.330.780.200,SALAMANCA
4.044.810.636.195.710,-36.762.309.620.097.300,CHAMARTIN
40.393.612.303.425.900,-36.556.073.868.098.400,PUENTE DE VALLECAS
403.829.835.905.706,-37.800.890.564.106.600,LATINA
4.037.953.682.427.190,-3.616.901.585.603.180,VILLA DE VALLECAS
40.402.370.336.363.400,-367.728.148.137.287,RETIRO
4.042.206.601.994.430,-3.662.968.075.865.230,SALAMANCA
40.379.584.618.162.100,-3.623.110.349.262.370,VILLA DE VALLECAS
4.040.911.512.464.530,-36.793.290.785.184.300,RETIRO
4.040.911.512.464.530,-36.793.290.785.184.300,RETIRO
4.043.200.210.571.460,-36.709.293.330.780.200,SALAMANCA
40.391.053.041.229.100,-36.958.079.719.260.000,ARGANZUELA
40.405.292.721.436.000,-36.086.161.200.017.100,VICALVARO
4.041.482.868.269.550,-37.001.663.599.562.100,CENTRO
40.395.280.262.214.200,-37.219.395.095.828.600,CARABANCHEL
4.039.982.891.410.400,-3.621.281.890.570.370,VICALVARO
4.040.647.389.284.970,-37.327.010.920.242.000,LATINA
4.043.371.190.964.790,-37.104.543.597.957.700,CHAMBERI
40.391.053.041.229.100,-36.958.079.719.260.000,ARGANZUELA
40.392.680.212.409.400,-37.593.572.957.930.500,LATINA
4.035.074.797.433.510,-36.773.064.421.969.200,VILLAVERDE
4.035.074.797.433.510,-36.773.064.421.969.200,VILLAVERDE
40.449.208.447.370.100,-36.755.539.136.331.800,CHAMARTIN
4.041.473.676.394.020,-3.738.118.254.222.950,MONCLOA-ARAVACA
40.393.612.303.425.900,-36.556.073.868.098.400,PUENTE DE VALLECAS
4.044.477.474.902.180,-36.129.105.844.633.700,SAN BLAS-CANILLEJAS
4.045.224.737.965.270,-36.580.402.287.911.900,CIUDAD LINEAL
4.042.447.060.804.350,-36.504.253.324.201.100,CIUDAD LINEAL
4.042.447.060.804.350,-36.504.253.324.201.100,CIUDAD LINEAL
4.046.903.299.144.090,-36.976.620.067.964.900,TETUAN
4.034.333.382.494.160,-36.909.491.943.684.400,VILLAVERDE
4.034.333.382.494.160,-36.909.491.943.684.400,VILLAVERDE
4.040.988.562.947.650,-36.402.498.953.843.400,MORATALAZUSERA
4.041.789.950.036.310,-37.309.390.858.931.100,MONCLOA-ARAVACA
4.039.210.151.448.580,-3.681.620.654.746.180,ARGANZUELA
40.443.385.945.708.400,-36.182.513.751.654.100,SAN BLAS-CANILLEJAS
